date	Algérie	Maroc	Tunisie
20201009	53998	415226	40542
20201010	54203	417125	40542
20201011	54402	418002	42727
20201012	54616	420648	44450
20201013	54829	423214	45892
20201014	55081	425864	45892
20201015	55357	428193	47214
20201016	55630	430562	48799
20201017	55880	432079	48799
20201018	56143	433029	52399
20201019	56419	435189	52399
20201020	56706	437332	54278
20201021	57026	439193	54278
20201022	57332	440970	58029
20201023	57651	442141	59813
20201024	57942	443146	61115
20201025	58272	443802	61906
20201026	58574	445439	63126
20201027	58979	447081	64363
20201028	59527	448678	66334
20201029	60169	450221	66334
20201030	60800	451637	69543
20201031	61381	452532	71119
20201101	62051	452988	71569
20201102	62693	453789	72993
20201103	63446	455055	74522
20201104	64257	456334	76106
20201105	65108	457625	77668
20201106	65975	458865	79339
20201107	66819	459671	80404
20201108	67679	460144	81003
20201109	68589	461390	81723
20201110	69591	462542	83772
20201111	70629	463706	83772
20201112	71652	464844	86265
20201113	72755	465769	87471
20201114	73774	466289	88711
20201115	74862	466626	89196
20201116	75867	467493	90213
20201117	77000	468383	91307
20201118	78025	469139	92475
20201119	79110	469990	93770
20201120	80168	470691	94980
20201121	81212	471157	96251
20201122	82221	471438	96769
20201123	83199	472273	96769
20201124	84152	473047	99280
20201125	85084	473667	99280
20201126	85927	474379	101900
20201127	86730	474966	102991
20201128	87502	475355	104002
20201129	88252	475589	104329
20201130	88825	476125	105445
20201201	89416	476689	106856
20201202	90014	477160	107814
20201203	90579	477656	109104
20201204	91121	478135	110393
20201205	91638	478474	111361
20201206	92102	478595	111361
20201207	92597	479071	113241
20201208	93065	479579	114547
20201209	93507	480056	115966
20201210	93933	480504	117582
20201211	94371	480948	119151
20201212	94781	481155	120687
20201213	95203	481263	121718
20201214	95659	481709	123323
20201215	96069	482128	125000
20201216	96549	482514	126752
20201217	97007	482994	128578
20201218	97441	483410	130230
20201219	97857	483654	131592
20201220	98249	483766	133204
20201221	98631	484159	134802
20201222	98988	484753	137216
20201223	99311	485147	139140
20201224	99610	485567	140557
20201225	99897	485974	141979
20201226	100159	486223	143544
20201227	100408	486325	144796
20201228	100645	486833	147061
20201229	100873	487286	149881
20201230	101120	487750	152254
20201231	101382	488181	154903
20210101	101657	488632	157514
20210102	101913	488937	159276
20210103	102144	489096	162350
20210104	102369	489622	164936
20210105	102641	490088	168568
20210106	102860	490575	170895
20210107	103127	491019	175065
20210108	103381	491463	177231
20210109	103611	491709	180090
20210110	103833	491834	181885
20210111	104092	492403	184483
20210112	104341	492842	188373
20210113	104606	493353	190884
20210114	104852	493867	193273
20210115	105124	494358	195314
20210116	105369	494659	197373
20210117	105596	494756	198636
20210118	105854	495421	200662
20210119	106097	496097	202323
20210120	106359	496676	204351
20210121	106610	497257	206030
20210122	106887	497832	207468
20210123	107122	498197	208885
20210124	107339	498329	210045
20210125	107578	499025	211412
20210126	107841	499688	212679
20210127	108116	500323	213949
20210128	108381	500948	215112
20210129	108629	501688	216176
20210130	108629	502102	217086
20210131	109088	502277	217753
20210201	109313	502961	218564
20210202	109559	503664	219650
20210203	109782	504260	220478
20210204	110049	504847	221455
20210205	110303	505447	222504
20210206	110513	505811	223244
20210207	110711	505949	223549
20210208	110894	506669	224329
20210209	111069	507338	225116
20210210	111247	507938	226015
20210211	111418	508530	226740
20210212	111600	509037	227643
20210213	111764	509363	228362
20210214	111917	509465	228937
20210215	112094	509972	229781
20210216	112279	510465	230443
20210217	112461	510886	231298
20210218	112622	511249	231964
20210219	112805	511562	232615
20210220	112960	511856	233277
20210221	113092	511912	233669
20210222	113255	512285	234231
20210223	113430	512656	235008
20210224	113593	513016	235643
20210225	113761	513314	236356
20210226	113948	513628	237028
20210227	114104	513864	237704
20210228	114234	513922	238017
20210229	114382	514164	238613
20210301	114543	514432	239368
20210302	114681	514670	239977
20210303	114851	514705	240617
20210304	115008	514817	241257
20210305	115143	514944	241834
20210306	115265	515023	242124
20210307	115410	515420	242673
20210308	115540	515758	243439
20210309	115688	516091	243935
20210310	115842	516449	244776
20210311	115970	516812	245405
20210312	116066	517023	245706
20210313	116157	517113	245923
20210314	116255	517423	246507
20210315	116349	517808	247254
20210316	116438	518122	248037
20210317	116543	518458	248782
20210318	116657	518868	249703
20210319	116750	519108	250565
20210320	116836	519216	251169
20210321	116946	519610	252171
20210322	117061	520028	254018
20210323	117192	520423	255308
20210324	117304	520769	256931
20210325	117429	521195	258335
20210326	117524	521426	260044
20210327	117622	521530	261177
20210328	117739	522003	263043
20210329	117879	522389	264994
20210330	118004	522765	266827
20210331	118116	523165	268837
20210401	118251	523620	270297
20210402	118378	523890	271861
20210403	118516	523999	272940
20210404	118645	524475	274604
20210405	118799	524975	276727
20210406	118975	525443	279376
